id,title,album,year,image,artist,url,duration,mood
tYnQN1Rc,Sooseki (From &quot;Pushpa 2 The Rule&quot;),Sooseki (From &quot;Pushpa 2 The Rule&quot;),2024,https://c.saavncdn.com/597/Sooseki-From-Pushpa-2-The-Rule-Telugu-2024-20240528221003-150x150.jpg,Shreya GhoshalDevi Sri PrasadChandrabose,https://www.jiosaavn.com/song/sooseki-from-pushpa-2-the-rule/BDEFYDoBZVA,260,energetic
1gugl0jt,Po Ve Po - The Pain Of Love,3 (Telugu),2012,https://c.saavncdn.com/244/3-Telugu-2012-150x150.jpg,Anirudh RavichanderMohit Chauhan,https://www.jiosaavn.com/song/po-ve-po-the-pain-of-love/QQ8eVhgAXUc,255,sad
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
lf-k_LMa,People of Kotha,King of Kotha (Telugu) (Original Motion Picture Soundtrack),2023,https://c.saavncdn.com/374/King-of-Kotha-Telugu-Original-Motion-Picture-Soundtrack-Telugu-2023-20230823183657-150x150.jpg,Jakes BejoyTravis King,https://www.jiosaavn.com/song/people-of-kotha/HA5GWit8elI,91,happy
,,,,,,,,
L3MUdZbU,Neekosam Oka,Happy,2005,https://c.saavncdn.com/null/Happy-Telugu-2005-20210130193253-150x150.jpg,Shankar Mahadevan,https://www.jiosaavn.com/song/neekosam-oka/PFsmZBBqVWY,196,happy
AN1zv7KP,Anuvanuvuu,Om Bheem Bush,2024,https://c.saavncdn.com/000/Om-Bheem-Bush-Telugu-2024-20240401231417-150x150.jpg,Sunny M.R.Arijit Singh,https://www.jiosaavn.com/song/anuvanuvuu/MSZaSwIHfGM,211,relaxed
5OjdY4fM,Tillu Anna DJ Pedithe,DJ Tillu,2022,https://c.saavncdn.com/430/DJ-Tillu-Telugu-2022-20220210033850-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/tillu-anna-dj-pedithe/RScBVS0EUX4,183,energetic
ARuXdxyk,Kurchi Madathapetti,Guntur Kaaram,2023,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-150x150.jpg,Mahesh BabuThaman SSri KrishnaSahithi Chaganti,https://www.jiosaavn.com/song/kurchi-madathapetti/MToeaRBITlg,216,energetic
,,,,,,,,
U7q200WO,College Papa,MAD,2023,https://c.saavncdn.com/000/MAD-Telugu-2023-20231004152950-150x150.jpg,Bheems CeciroleoVaramKeerthana SharmaGopika UdayanRam Nithin,https://www.jiosaavn.com/song/college-papa/JV8aA0QAYHw,245,happy
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
26ZdsX1e,Mr. Perfect,Aarya - 2,2009,https://c.saavncdn.com/298/Aarya-2-Telugu-2009-20190822135933-150x150.jpg,Rita ThyagarajanDevi Sri PrasadBaba Sehgal,https://www.jiosaavn.com/song/mr.-perfect/Ql4xVQdoBlY,276,relaxed
aVrpjw_7,Ticket Eh Konakunda,Tillu Square,2023,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/ticket-eh-konakunda/ET4ZQR5HaAQ,189,energetic
aVrpjw_7,Ticket Eh Konakunda,Tillu Square,2023,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/ticket-eh-konakunda/ET4ZQR5HaAQ,189,energetic
PiXTKfRo,Radhika,Tillu Square,2023,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/radhika/IAEzZT9WZVw,188,sad
7QZhrNEq,Vatapatra - Happy,Swati Mutyam,2000,https://c.saavncdn.com/679/Swati-Mutyam-2000-150x150.jpg,P. Susheela,"https://www.jiosaavn.com/song/vatapatra-happy/RzkxWQZ,ckI",273,happy
,,,,,,,,
2CDYPNKQ,Alloneredu Kalla,Seenu,2000,https://c.saavncdn.com/406/Seenu-2000-150x150.jpg,Mani SharmaK. S. ChithraParthasarathy,"https://www.jiosaavn.com/song/alloneredu-kalla/QisvaCR,fGI",278,relaxed
,,,,,,,,
#NAME?,Mellaga,Varsham,2003,https://c.saavncdn.com/449/Varsham-2003-150x150.jpg,Devi Sri PrasadS.P. CharanSumangali,https://www.jiosaavn.com/song/mellaga/XUUyRAJjBmc,321,sad
BgqPmnlD,Apudo Ipudo,Bommarillu,2000,https://c.saavncdn.com/843/Bommarillu-2000-150x150.jpg,Devi Sri PrasadSiddharth,https://www.jiosaavn.com/song/apudo-ipudo/Mg8aYRleW3c,244,relaxed
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
yU_Zx3mf,Dum Masala,Guntur Kaaram,2023,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-150x150.jpg,Thaman SSanjith Hegde,https://www.jiosaavn.com/song/dum-masala/CT00awwDWlU,206,energetic
tYnQN1Rc,Sooseki (From &quot;Pushpa 2 The Rule&quot;),Sooseki (From &quot;Pushpa 2 The Rule&quot;),2024,https://c.saavncdn.com/597/Sooseki-From-Pushpa-2-The-Rule-Telugu-2024-20240528221003-150x150.jpg,Shreya GhoshalDevi Sri PrasadChandrabose,https://www.jiosaavn.com/song/sooseki-from-pushpa-2-the-rule/BDEFYDoBZVA,260,energetic
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
egqN9nKL,Adhento Gaani Vunnapaatuga,Jersey,2019,https://c.saavncdn.com/623/Jersey-Telugu-2019-20190427102305-150x150.jpg,Anirudh Ravichander,https://www.jiosaavn.com/song/adhento-gaani-vunnapaatuga/FQ8af01efH8,237,relaxed
5OjdY4fM,Tillu Anna DJ Pedithe,DJ Tillu,2022,https://c.saavncdn.com/430/DJ-Tillu-Telugu-2022-20220210033850-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/tillu-anna-dj-pedithe/RScBVS0EUX4,183,energetic
BgqPmnlD,Apudo Ipudo,Bommarillu,2000,https://c.saavncdn.com/843/Bommarillu-2000-150x150.jpg,Devi Sri PrasadSiddharth,https://www.jiosaavn.com/song/apudo-ipudo/Mg8aYRleW3c,244,relaxed
LLF5ZxnQ,Chiru Chiru,Awaara,2010,https://c.saavncdn.com/612/Awaara-Telugu-2013-150x150.jpg,Yuvanshankar RajaHaricharanSagar Desai,https://www.jiosaavn.com/song/chiru-chiru/PCQtBC5IWWI,286,relaxed
p2EQzkRd,Garam Garam (From &quot;Saripodhaa Sanivaaram&quot;),Garam Garam (From &quot;Saripodhaa Sanivaaram&quot;),2024,https://c.saavncdn.com/046/Garam-Garam-From-Saripodhaa-Sanivaaram-Telugu-2024-20240614192246-150x150.jpg,Jakes BejoyVishal Dadlani,https://www.jiosaavn.com/song/garam-garam-from-saripodhaa-sanivaaram/AFouYA5bZVc,252,happy
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
yU_Zx3mf,Dum Masala,Guntur Kaaram,2023,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-150x150.jpg,Thaman SSanjith Hegde,https://www.jiosaavn.com/song/dum-masala/CT00awwDWlU,206,relaxed
26ZdsX1e,Mr. Perfect,Aarya - 2,2009,https://c.saavncdn.com/298/Aarya-2-Telugu-2009-20190822135933-150x150.jpg,Rita ThyagarajanDevi Sri PrasadBaba Sehgal,https://www.jiosaavn.com/song/mr.-perfect/Ql4xVQdoBlY,276,relaxed
1gugl0jt,Po Ve Po - The Pain Of Love,3 (Telugu),2012,https://c.saavncdn.com/244/3-Telugu-2012-150x150.jpg,Anirudh RavichanderMohit Chauhan,https://www.jiosaavn.com/song/po-ve-po-the-pain-of-love/QQ8eVhgAXUc,255,sad
tYnQN1Rc,Sooseki (From &quot;Pushpa 2 The Rule&quot;),Sooseki (From &quot;Pushpa 2 The Rule&quot;),2024,https://c.saavncdn.com/597/Sooseki-From-Pushpa-2-The-Rule-Telugu-2024-20240528221003-150x150.jpg,Shreya GhoshalDevi Sri PrasadChandrabose,https://www.jiosaavn.com/song/sooseki-from-pushpa-2-the-rule/BDEFYDoBZVA,260,energetic
aVrpjw_7,Ticket Eh Konakunda,Tillu Square,2023,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/ticket-eh-konakunda/ET4ZQR5HaAQ,189,energetic
1gugl0jt,Po Ve Po - The Pain Of Love,3 (Telugu),2012,https://c.saavncdn.com/244/3-Telugu-2012-150x150.jpg,Anirudh RavichanderMohit Chauhan,https://www.jiosaavn.com/song/po-ve-po-the-pain-of-love/QQ8eVhgAXUc,255,sad
5OjdY4fM,Tillu Anna DJ Pedithe,DJ Tillu,2022,https://c.saavncdn.com/430/DJ-Tillu-Telugu-2022-20220210033850-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/tillu-anna-dj-pedithe/RScBVS0EUX4,183,energetic
TsnG9Yrn,Egirey Mabbulona,Happy,2005,https://c.saavncdn.com/null/Happy-Telugu-2005-20210130193253-150x150.jpg,KK,https://www.jiosaavn.com/song/egirey-mabbulona/JBsFdk1pRV0,234,happy
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
K29POdbr,Kollagottey,Remo (Telugu) [Original Motion Picture Soundtrack],2016,https://c.saavncdn.com/342/Remo-Telugu-Original-Motion-Picture-Soundtrack--Telugu-2016-20210522202710-150x150.jpg,Anirudh Ravichander,https://www.jiosaavn.com/song/kollagottey/O1pSYTtUVUE,251,happy
46An-G70,Happy,Happy,2005,https://c.saavncdn.com/null/Happy-Telugu-2005-20210130193253-150x150.jpg,Karthik,https://www.jiosaavn.com/song/happy/RF4qX1l3AAM,219,happy
5OjdY4fM,Tillu Anna DJ Pedithe,DJ Tillu,2022,https://c.saavncdn.com/430/DJ-Tillu-Telugu-2022-20220210033850-150x150.jpg,Ram Miriyala,https://www.jiosaavn.com/song/tillu-anna-dj-pedithe/RScBVS0EUX4,183,energetic
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Baby,2023,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-150x150.jpg,Vijai BulganinSreerama Chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,314,romantic
#NAME?,Mellaga,Varsham,2003,https://c.saavncdn.com/449/Varsham-2003-150x150.jpg,Devi Sri PrasadS.P. CharanSumangali,https://www.jiosaavn.com/song/mellaga/XUUyRAJjBmc,321,sad
